世代,個体No,実値,適応度, 係数0, 係数1, 係数2, 係数3, 係数4, 係数5, 係数6, 係数7, 係数8, 係数9
1777,29,3.000,30.000,0.19,0.70,0.48,0.57,1.00,0.87,0.18,0.37,0.04,0.40
1778,29,0.000,0.000,0.42,0.40,0.93,0.63,0.82,0.99,0.44,0.69,0.49,0.27
1779,69,8.000,80.000,0.30,0.76,0.44,0.98,0.08,0.94,0.79,0.44,0.75,0.87
1780,24,6.000,60.000,0.14,0.49,0.42,0.48,0.66,0.95,0.67,0.98,0.55,0.15
1781,94,6.000,60.000,0.05,0.38,0.33,0.13,0.67,0.66,0.75,0.43,0.63,0.21
1782,24,8.000,80.000,0.06,0.81,0.40,1.00,0.81,0.93,0.94,0.64,0.68,0.80
1783,70,3.000,30.000,0.23,0.64,0.21,0.94,0.23,0.64,0.03,0.02,0.25,0.59
1784,80,3.000,30.000,0.18,0.48,0.11,0.44,0.32,0.58,0.52,0.94,0.26,0.87
1785,50,6.000,60.000,0.32,0.37,0.42,0.44,0.69,0.54,0.05,0.84,0.78,0.37
1786,75,8.000,80.000,0.47,0.10,0.33,0.37,0.22,0.55,0.52,0.38,0.69,0.82
1787,33,6.000,60.000,0.26,0.28,0.32,0.11,0.05,1.00,0.78,0.25,0.67,0.16
1788,7,8.000,80.000,0.46,0.57,0.32,0.93,0.23,0.56,0.26,0.32,0.87,0.61
1789,52,3.000,30.000,0.32,0.48,0.10,0.79,0.54,0.91,0.76,0.58,0.36,0.45
1790,34,3.000,30.000,0.36,0.92,0.89,0.07,0.53,0.48,0.87,0.25,0.04,0.65
1791,53,6.000,60.000,0.18,0.22,0.01,0.48,0.86,0.79,0.89,0.10,0.62,0.45
1792,96,8.000,80.000,0.01,0.26,0.12,0.36,0.15,0.97,0.91,0.29,0.57,0.63
1793,47,8.000,80.000,0.35,0.44,0.24,0.29,0.63,0.96,0.04,0.24,0.76,0.74
1794,25,8.000,80.000,0.47,0.76,0.16,0.09,0.39,0.72,0.03,0.61,0.58,0.94
1795,92,6.000,60.000,0.07,0.32,0.27,0.29,0.12,0.91,0.54,0.62,0.80,0.31
1796,64,4.000,40.000,0.35,0.14,0.25,0.11,0.34,0.15,0.75,0.72,0.30,1.00
1797,92,4.000,40.000,0.12,0.24,0.10,0.18,0.99,0.46,0.56,0.30,0.05,0.99
1798,4,3.000,30.000,0.36,0.17,0.59,0.83,0.17,0.23,0.51,0.25,0.01,0.60
1799,7,6.000,60.000,0.11,0.12,0.37,0.44,0.29,0.75,0.46,0.58,0.92,0.13
1800,91,8.000,80.000,0.05,0.77,0.27,0.29,0.81,0.67,0.72,0.24,0.66,0.57
1801,3,6.000,60.000,0.49,0.99,0.40,0.60,0.39,0.63,0.27,0.66,0.74,0.41
1802,4,3.000,30.000,0.13,0.31,0.70,0.62,0.59,0.21,0.85,0.38,0.64,0.77
1803,80,6.000,60.000,0.36,0.95,0.10,0.01,0.01,0.78,0.63,0.78,0.61,0.17
1804,80,8.000,80.000,0.01,0.30,0.02,0.67,0.87,0.55,0.22,0.67,0.55,0.97
1805,62,8.000,80.000,0.45,0.42,0.04,0.60,0.24,0.56,0.83,0.50,0.72,0.54
1806,55,4.000,40.000,0.46,0.48,0.20,0.30,0.51,0.21,0.51,0.66,0.47,0.81
1807,19,1.000,10.000,0.03,0.27,0.53,0.70,0.60,0.03,0.20,0.36,0.77,0.17
1808,4,3.000,30.000,0.49,0.01,0.39,0.77,0.92,0.79,0.48,0.36,0.24,0.92
1809,64,4.000,40.000,0.42,0.51,0.47,0.53,0.82,0.46,0.51,0.08,0.09,0.67
1810,33,6.000,60.000,0.25,0.85,0.09,0.73,0.70,0.76,0.53,0.76,0.57,0.49
1811,73,8.000,80.000,0.41,0.30,0.12,0.87,0.97,0.70,0.67,0.06,0.96,0.75
1812,20,1.000,10.000,0.96,0.60,0.43,0.68,0.67,0.52,0.35,0.97,0.82,0.33
1813,7,6.000,60.000,0.36,0.26,0.09,0.54,0.45,0.50,0.90,0.90,0.61,0.16
1814,11,8.000,80.000,0.06,0.80,0.25,0.49,0.50,0.91,0.23,0.99,0.58,0.53
1815,46,6.000,60.000,0.37,0.61,0.14,0.94,0.69,0.59,0.68,0.74,0.92,0.19
1816,58,8.000,80.000,0.21,0.30,0.04,0.96,0.80,0.77,0.97,0.54,0.76,0.98
1817,95,6.000,60.000,0.02,0.70,0.28,0.67,0.22,0.55,0.23,0.31,0.56,0.01
1818,2,8.000,80.000,0.26,0.62,0.33,0.63,0.47,0.59,0.77,0.84,0.62,0.77
1819,20,6.000,60.000,0.21,0.73,0.22,0.71,0.69,0.85,0.44,0.25,0.78,0.29
1820,4,1.000,10.000,0.05,0.96,0.82,0.60,0.04,0.39,0.43,0.04,0.88,0.69
1821,70,8.000,80.000,0.03,0.94,0.45,0.66,0.27,0.96,0.83,0.96,0.65,0.62
1822,6,4.000,40.000,0.48,0.44,0.12,0.96,0.30,0.37,0.64,0.57,0.04,0.95
1823,7,6.000,60.000,0.39,0.73,0.35,0.84,0.57,0.71,0.77,0.80,0.92,0.18
1824,11,6.000,60.000,0.35,0.54,0.16,0.81,0.41,0.74,0.69,0.29,0.61,0.17
1825,73,8.000,80.000,0.13,0.01,0.08,0.01,0.50,0.65,0.53,0.10,0.68,0.63
1826,96,6.000,60.000,0.18,0.77,0.37,0.23,0.95,0.59,0.14,0.31,0.88,0.49
1827,5,6.000,60.000,0.37,0.59,0.37,0.70,0.99,0.86,0.76,0.71,0.82,0.20
1828,67,3.000,30.000,0.50,0.27,0.56,0.58,0.14,0.18,0.51,0.87,0.16,0.68
1829,27,3.000,30.000,0.13,0.82,0.30,0.42,0.86,0.88,0.83,0.08,0.21,0.08
1830,9,6.000,60.000,0.25,0.92,0.44,0.28,0.32,0.81,0.48,0.50,0.65,0.36
1831,23,3.000,30.000,0.49,0.38,0.38,0.94,0.12,0.61,0.58,0.58,0.26,0.89
1832,9,8.000,80.000,0.05,0.78,0.23,0.73,0.08,0.59,0.57,0.26,0.91,0.70
1833,2,8.000,80.000,0.08,0.08,0.45,0.08,0.59,0.52,0.57,0.97,0.53,0.53
1834,71,8.000,80.000,0.44,0.09,0.41,1.00,0.60,0.70,0.56,0.72,0.51,1.00
1835,97,6.000,60.000,0.09,0.86,0.01,0.07,0.87,0.53,0.32,0.20,0.84,0.44
1836,18,1.000,10.000,0.09,0.18,0.51,0.42,0.04,0.23,0.34,0.49,0.47,0.85
1837,12,6.000,60.000,0.46,0.04,0.20,0.45,0.66,0.57,0.59,0.16,0.72,0.38
1838,7,8.000,80.000,0.37,0.54,0.03,0.17,0.97,0.52,0.35,0.60,0.74,0.75
1839,5,8.000,80.000,0.04,0.13,0.16,0.23,0.84,0.86,0.67,0.54,0.88,0.84
1840,19,6.000,60.000,0.14,0.59,0.42,0.03,0.98,0.62,0.69,0.22,0.67,0.05
1841,77,6.000,60.000,0.09,0.73,0.38,0.99,0.91,0.68,0.54,0.87,0.92,0.24
1842,7,8.000,80.000,0.19,0.07,0.07,0.26,0.26,0.61,0.99,0.06,0.64,0.77
1843,77,8.000,80.000,0.34,0.72,0.11,0.66,0.65,0.87,0.09,0.42,0.53,0.75
1844,11,8.000,80.000,0.27,0.37,0.24,0.48,0.03,0.78,0.34,0.94,0.51,0.92
1845,82,8.000,80.000,0.38,0.61,0.23,0.26,0.65,0.60,0.61,0.53,0.93,0.70
1846,14,6.000,60.000,0.17,0.25,0.05,0.39,0.34,0.78,0.32,0.53,0.59,0.48
1847,12,4.000,40.000,0.12,0.60,0.23,0.14,0.76,0.33,0.56,0.46,0.15,0.51
1848,64,6.000,60.000,0.22,0.27,0.20,0.69,0.86,0.97,0.77,0.88,0.80,0.00
1849,34,3.000,30.000,0.25,0.62,0.28,0.07,0.06,1.00,0.02,0.01,0.40,0.07
1850,50,8.000,80.000,0.07,0.75,0.33,0.84,0.06,0.92,0.60,0.87,0.92,0.77
1851,36,4.000,40.000,0.25,0.61,0.41,0.53,0.63,0.35,0.56,0.16,0.51,0.55
1852,49,8.000,80.000,0.34,0.13,0.38,0.36,0.78,1.00,0.11,0.13,0.54,0.73
1853,71,6.000,60.000,0.32,0.41,0.12,0.43,0.44,0.56,0.01,0.59,0.69,0.20
1854,3,3.000,30.000,0.28,0.12,0.24,0.96,0.11,0.63,0.18,0.63,0.45,0.07
1855,24,6.000,60.000,0.12,0.08,0.49,0.44,0.35,0.51,0.54,0.96,0.67,0.37
1856,31,3.000,30.000,0.48,0.51,0.32,0.26,0.67,0.90,0.85,0.83,0.27,0.66
1857,60,6.000,60.000,0.46,0.52,0.21,0.97,0.91,0.81,0.11,0.54,0.95,0.40
1858,22,8.000,80.000,0.38,0.31,0.28,0.28,0.44,1.00,0.34,0.72,0.56,0.84
1859,59,8.000,80.000,0.07,0.20,0.25,0.09,0.15,0.91,0.75,0.37,0.93,0.73
1860,43,6.000,60.000,0.43,0.99,0.10,0.38,0.93,0.51,0.43,0.74,0.56,0.34
1861,3,8.000,80.000,0.46,0.47,0.12,0.01,0.05,0.62,0.56,0.06,0.82,0.73
1862,62,3.000,30.000,0.27,0.46,0.52,0.84,0.48,0.47,0.75,0.21,0.20,0.69
1863,50,3.000,30.000,0.13,0.37,0.34,0.71,0.54,0.99,0.08,0.34,0.20,0.46
1864,51,8.000,80.000,0.35,0.60,0.26,0.91,0.76,0.88,0.11,0.53,0.65,0.73
1865,30,8.000,80.000,0.30,0.64,0.46,0.06,0.39,0.70,0.47,0.02,0.58,0.53
1866,33,4.000,40.000,0.20,0.23,0.28,0.39,0.94,0.07,0.72,0.40,0.48,0.79
1867,56,8.000,80.000,0.17,0.10,0.12,0.67,0.29,0.63,0.84,0.41,0.93,0.94
1868,8,4.000,40.000,0.28,0.12,0.00,0.18,0.13,0.42,0.55,0.87,0.66,0.82
1869,61,8.000,80.000,0.03,0.43,0.12,0.60,0.06,0.62,0.41,0.45,0.71,0.70
1870,42,8.000,80.000,0.38,0.79,0.23,0.97,0.85,0.80,0.46,0.23,0.90,0.98
1871,56,8.000,80.000,0.01,0.48,0.05,0.02,0.30,0.56,0.14,0.82,0.95,0.52
1872,40,4.000,40.000,0.02,0.51,0.37,0.80,0.12,0.19,0.59,0.80,0.60,0.64
1873,90,8.000,80.000,0.26,0.43,0.25,0.72,0.66,0.82,0.35,0.55,0.71,0.51
1874,53,8.000,80.000,0.03,0.51,0.45,0.01,0.07,0.83,0.01,0.22,0.84,0.51
1875,63,6.000,60.000,0.35,0.56,0.07,0.94,0.47,0.64,0.89,0.76,0.57,0.36
1876,26,3.000,30.000,0.44,0.25,0.39,0.93,0.57,0.77,0.24,0.33,0.34,0.54
1877,28,8.000,80.000,0.19,0.47,0.24,0.50,0.40,0.63,0.82,0.20,0.89,0.74
1878,57,4.000,40.000,0.23,0.96,0.48,0.51,0.45,0.15,0.83,0.32,0.43,0.61
1879,20,4.000,40.000,0.01,0.63,0.18,0.47,0.63,0.47,0.69,0.66,0.10,0.83
1880,55,8.000,80.000,0.31,0.85,0.10,0.58,0.11,0.96,0.88,0.58,0.51,0.54
1881,20,3.000,30.000,0.22,0.34,0.43,0.64,0.92,0.63,0.77,0.72,0.18,0.63
1882,25,8.000,80.000,0.45,0.17,0.06,0.19,0.98,0.62,0.19,0.46,0.83,0.58
1883,27,4.000,40.000,0.30,0.86,0.34,0.10,0.25,0.28,0.67,0.29,0.04,1.00
1884,84,8.000,80.000,0.02,0.00,0.20,0.68,0.48,1.00,0.97,0.23,0.68,0.67
1885,1,3.000,30.000,0.47,0.99,0.13,0.37,0.04,0.97,0.01,0.61,0.49,0.67
1886,9,3.000,30.000,0.31,0.86,0.45,0.62,0.80,0.96,0.15,0.89,0.35,0.33
1887,23,6.000,60.000,0.04,0.20,0.06,0.81,0.96,0.68,0.44,0.76,0.60,0.47
1888,30,4.000,40.000,0.07,0.74,0.14,0.52,0.59,0.47,0.72,0.02,0.74,0.63
1889,32,3.000,30.000,0.30,0.86,0.37,0.19,0.27,0.51,0.65,0.52,0.07,0.70
1890,34,4.000,40.000,0.35,0.68,0.21,0.34,0.52,0.41,0.73,0.78,0.01,0.73
1891,62,8.000,80.000,0.17,0.46,0.01,0.03,0.48,0.94,0.31,0.99,0.80,0.67
1892,33,3.000,30.000,0.12,0.02,0.44,0.42,0.54,0.54,0.82,0.45,0.34,0.07
1893,42,8.000,80.000,0.13,0.36,0.15,0.14,0.16,0.96,0.82,0.25,0.97,0.89
1894,9,3.000,30.000,0.49,0.26,0.26,0.82,0.40,0.68,0.50,0.38,0.06,0.73
1895,51,1.000,10.000,0.45,0.09,0.98,0.22,0.11,0.09,0.21,0.25,0.08,0.54
1896,28,3.000,30.000,0.39,0.77,0.86,0.83,0.29,0.26,0.70,0.10,0.77,0.85
1897,12,8.000,80.000,0.07,0.29,0.37,0.85,0.35,0.93,0.13,0.97,0.93,0.82
1898,17,4.000,40.000,0.01,0.44,0.07,0.75,0.19,0.08,0.93,0.49,0.25,0.96
1899,42,1.000,10.000,0.57,0.56,0.33,0.31,0.21,0.85,0.32,0.42,0.75,0.78
1900,50,3.000,30.000,0.14,0.93,0.46,0.39,0.05,0.93,0.36,0.85,0.07,0.59
1901,46,3.000,30.000,0.48,0.36,0.17,0.98,0.58,0.63,0.53,0.86,0.05,0.30
1902,24,1.000,10.000,0.77,0.58,0.50,0.22,0.01,0.54,0.76,0.65,0.23,0.34
1903,86,3.000,30.000,0.29,0.91,0.12,0.56,0.25,0.90,0.43,0.56,0.23,0.04
1904,40,4.000,40.000,0.26,0.45,0.29,0.83,0.90,0.05,0.96,0.32,0.77,0.74
1905,50,3.000,30.000,0.16,0.43,0.50,0.97,0.64,0.64,0.26,0.91,0.16,0.23
1906,26,4.000,40.000,0.47,0.72,0.22,0.63,0.97,0.43,0.85,0.47,0.93,0.55
1907,63,6.000,60.000,0.48,0.55,0.05,0.87,0.57,0.68,0.03,0.21,0.51,0.26
1908,36,1.000,10.000,0.56,0.96,0.36,0.22,0.73,0.77,0.95,0.24,0.68,0.77
1909,41,8.000,80.000,0.28,0.82,0.49,0.42,0.63,0.70,0.86,0.81,0.80,0.86
1910,29,3.000,30.000,0.42,0.72,0.48,0.62,0.31,0.58,0.97,0.13,0.23,0.84
1911,45,6.000,60.000,0.20,0.89,0.29,0.13,0.25,0.68,0.13,0.87,0.91,0.12
1912,62,4.000,40.000,0.38,0.96,0.37,0.73,0.82,0.34,0.91,0.94,0.22,0.57
1913,67,3.000,30.000,0.49,0.06,0.13,0.77,0.09,0.50,0.79,0.48,0.46,0.41
1914,16,8.000,80.000,0.08,0.08,0.46,0.73,0.86,0.80,0.11,0.65,0.57,0.84
1915,37,8.000,80.000,0.37,0.06,0.33,0.32,0.68,0.66,0.88,0.33,0.75,0.55
1916,70,8.000,80.000,0.24,0.91,0.45,0.05,0.85,0.62,0.50,0.40,0.63,0.94
1917,96,4.000,40.000,0.09,0.29,0.41,0.12,0.26,0.44,0.87,0.95,0.77,0.97
1918,12,3.000,30.000,0.08,0.90,0.73,0.22,0.83,0.46,0.81,0.12,0.05,0.64
1919,19,3.000,30.000,0.17,0.07,0.15,0.69,0.67,0.59,0.84,0.35,0.22,0.06
1920,40,6.000,60.000,0.37,0.62,0.35,0.50,0.79,0.78,0.08,0.86,0.52,0.22
1921,23,8.000,80.000,0.22,0.50,0.18,0.79,0.15,0.54,1.00,0.26,0.99,0.68
1922,82,3.000,30.000,0.42,0.29,0.56,0.71,0.16,0.30,0.81,0.81,0.37,0.98
1923,58,4.000,40.000,0.39,0.70,0.13,0.94,0.83,0.42,0.58,0.16,0.26,0.59
1924,31,8.000,80.000,0.38,0.63,0.07,0.43,0.51,0.65,0.51,0.93,0.72,0.99
1925,78,6.000,60.000,0.03,0.24,0.48,0.23,0.63,0.56,0.17,0.82,0.71,0.28
1926,98,6.000,60.000,0.43,0.85,0.19,0.83,0.32,0.83,0.93,0.08,0.93,0.46
1927,94,6.000,60.000,0.46,0.41,0.25,0.97,0.88,0.53,0.95,0.23,0.50,0.17
1928,21,6.000,60.000,0.24,0.16,0.36,0.54,0.41,0.95,0.89,0.72,0.87,0.44
1929,36,6.000,60.000,0.43,1.00,0.32,0.57,0.18,0.63,0.47,0.63,0.90,0.23
1930,9,4.000,40.000,0.10,0.94,0.48,0.29,0.41,0.04,0.74,0.10,0.91,0.84
1931,37,4.000,40.000,0.26,0.18,0.10,0.36,0.76,0.21,0.65,0.69,0.50,0.55
1932,53,3.000,30.000,0.15,0.61,0.86,0.52,0.48,0.24,0.87,0.93,0.62,0.79
1933,9,6.000,60.000,0.17,0.67,0.26,0.77,0.85,0.92,0.62,0.86,0.92,0.34
1934,28,6.000,60.000,0.32,0.58,0.12,0.63,0.12,0.98,0.48,0.74,0.82,0.34
1935,33,4.000,40.000,0.23,0.72,0.33,0.36,0.24,0.47,0.62,0.69,0.85,0.74
1936,26,8.000,80.000,0.48,0.95,0.22,0.17,0.75,0.93,0.27,0.92,0.77,0.72
1937,22,4.000,40.000,0.34,0.10,0.36,0.18,0.62,0.39,0.52,0.83,0.45,0.66
1938,97,6.000,60.000,0.14,0.59,0.42,0.19,0.37,0.74,0.62,0.96,0.66,0.26
1939,41,8.000,80.000,0.30,0.19,0.26,0.20,0.33,0.65,0.92,0.86,0.71,0.86
1940,50,6.000,60.000,0.38,0.12,0.38,0.59,0.05,0.73,0.39,0.81,0.80,0.38
1941,12,3.000,30.000,0.36,0.05,0.16,0.72,0.14,0.70,0.54,0.51,0.49,0.26
1942,61,8.000,80.000,0.08,0.75,0.46,0.44,0.31,0.79,0.62,0.89,0.73,0.58
1943,91,8.000,80.000,0.17,0.30,0.49,0.30,0.83,0.68,0.30,0.74,0.74,0.95
1944,92,8.000,80.000,0.49,0.97,0.01,0.22,0.88,0.51,0.00,0.83,0.54,0.97
1945,89,8.000,80.000,0.25,0.20,0.11,0.94,0.85,0.53,0.43,0.04,0.51,0.71
1946,59,4.000,40.000,0.04,0.17,0.48,0.23,0.05,0.10,0.72,0.38,0.31,0.53
1947,73,8.000,80.000,0.13,0.48,0.29,0.81,0.01,0.83,0.12,0.35,0.71,0.92
1948,11,4.000,40.000,0.46,0.35,0.43,0.51,0.32,0.19,0.54,0.49,0.48,0.75
1949,22,6.000,60.000,0.42,0.76,0.17,0.58,0.34,0.57,0.26,0.86,0.72,0.00
1950,74,1.000,10.000,0.11,0.46,0.88,0.27,0.21,0.19,0.29,0.50,0.82,0.40
1951,95,8.000,80.000,0.08,0.21,0.01,0.93,0.14,0.87,0.55,0.82,0.96,0.67
1952,89,4.000,40.000,0.06,0.54,0.47,0.59,0.81,0.04,0.64,0.94,0.25,0.84
1953,21,1.000,10.000,0.75,0.67,0.26,0.89,0.32,0.55,0.43,0.85,0.76,0.19
1954,8,8.000,80.000,0.16,0.62,0.20,0.45,0.47,0.54,0.28,0.04,0.90,0.56
1955,57,4.000,40.000,0.42,0.26,0.01,0.53,0.60,0.16,0.87,0.21,0.86,0.57
1956,10,8.000,80.000,0.01,0.63,0.50,0.00,0.73,0.86,0.95,0.95,0.65,0.54
1957,95,8.000,80.000,0.14,0.20,0.12,0.71,0.85,0.72,0.43,0.87,0.91,0.61
1958,17,3.000,30.000,0.49,0.58,0.12,0.31,0.23,0.54,0.98,0.78,0.35,0.54
1959,48,4.000,40.000,0.11,0.33,0.19,0.15,0.16,0.06,0.98,0.16,0.10,0.73
1960,1,3.000,30.000,0.23,0.62,0.75,0.06,0.30,0.42,0.82,0.91,0.34,0.81
1961,33,6.000,60.000,0.11,0.64,0.29,0.15,0.32,0.86,0.81,0.68,0.68,0.07
1962,8,3.000,30.000,0.05,0.04,0.26,0.44,0.92,0.84,0.86,0.69,0.08,0.13
1963,81,4.000,40.000,0.49,0.59,0.48,0.65,0.38,0.36,0.58,0.67,0.18,0.63
1964,89,8.000,80.000,0.00,0.08,0.42,0.26,0.01,0.91,0.01,0.22,0.96,0.73
1965,3,4.000,40.000,0.46,0.71,0.22,0.96,0.43,0.17,0.75,0.75,0.62,0.79
1966,7,3.000,30.000,0.45,0.39,0.34,0.23,0.85,0.59,0.09,0.76,0.38,0.17
1967,1,3.000,30.000,0.40,0.86,0.17,0.90,0.61,0.96,0.39,0.26,0.26,0.28
1968,93,6.000,60.000,0.04,0.89,0.25,0.39,0.19,0.88,0.69,0.64,0.71,0.23
1969,24,8.000,80.000,0.07,0.54,0.30,0.32,0.65,0.50,0.22,0.54,0.63,0.86
1970,13,6.000,60.000,0.26,0.67,0.46,0.40,0.51,0.94,0.24,0.07,0.85,0.12
1971,78,8.000,80.000,0.43,0.45,0.11,0.78,0.48,0.71,0.97,0.50,0.82,0.52
1972,76,6.000,60.000,0.47,0.41,0.15,0.54,0.23,0.79,0.06,0.56,0.88,0.45
1973,9,8.000,80.000,0.24,0.05,0.23,0.81,0.35,0.64,0.97,0.68,0.69,0.74
1974,70,4.000,40.000,0.04,0.04,0.35,0.56,0.99,0.27,0.69,0.98,0.59,0.98
1975,74,8.000,80.000,0.29,0.91,0.06,0.29,0.38,0.87,0.89,0.19,0.99,0.89
1976,14,3.000,30.000,0.21,0.79,0.42,0.06,0.50,0.65,0.77,0.54,0.27,0.98
1977,5,6.000,60.000,0.06,0.99,0.46,0.39,0.55,0.77,0.43,0.88,0.52,0.28
1978,68,4.000,40.000,0.31,0.30,0.05,0.88,0.78,0.27,0.75,0.27,0.63,0.96
1979,5,1.000,10.000,0.55,0.88,0.32,0.05,0.53,0.62,0.38,0.07,0.88,0.93
1980,3,6.000,60.000,0.03,0.40,0.35,0.68,0.93,0.50,0.59,0.77,0.81,0.01
1981,34,8.000,80.000,0.25,0.62,0.28,0.24,0.93,0.62,0.57,0.51,0.91,0.79
1982,25,8.000,80.000,0.43,0.84,0.21,0.32,0.83,0.91,0.21,0.55,0.56,0.79
1983,31,3.000,30.000,0.30,0.59,0.86,0.23,0.94,0.17,0.99,0.85,1.00,0.81
1984,48,8.000,80.000,0.28,0.74,0.42,0.17,0.97,0.65,0.09,0.34,0.54,0.54
1985,40,8.000,80.000,0.02,0.33,0.48,0.37,0.66,0.96,0.49,0.39,0.87,0.96
1986,30,1.000,10.000,0.80,0.89,0.46,0.33,0.46,0.90,0.11,0.49,0.94,0.95
1987,39,3.000,30.000,0.28,0.66,0.45,0.34,0.18,0.74,0.21,0.75,0.41,0.82
1988,22,8.000,80.000,0.37,0.04,0.13,0.22,0.20,0.80,0.82,0.21,0.79,0.54
1989,87,6.000,60.000,0.26,0.55,0.37,0.41,0.95,0.89,0.08,0.70,0.87,0.27
1990,61,3.000,30.000,0.01,0.06,0.48,0.62,0.33,0.89,0.36,0.14,0.44,0.68
1991,96,6.000,60.000,0.08,0.55,0.09,0.32,0.73,0.73,0.44,0.37,0.81,0.36
1992,25,6.000,60.000,0.34,0.68,0.47,0.21,0.95,0.67,0.44,0.93,0.83,0.08
1993,37,8.000,80.000,0.45,0.97,0.29,0.18,0.99,0.84,0.44,0.60,0.70,0.73
1994,42,6.000,60.000,0.21,0.25,0.33,0.78,0.06,0.60,0.90,0.29,0.84,0.23
1995,10,6.000,60.000,0.45,0.36,0.38,0.51,1.00,0.81,0.07,0.88,0.54,0.02
1996,5,6.000,60.000,0.01,0.52,0.14,0.01,0.18,0.55,0.82,0.54,1.00,0.45
1997,13,6.000,60.000,0.35,0.76,0.24,0.71,0.25,0.51,0.61,0.63,0.80,0.12
1998,12,6.000,60.000,0.29,0.10,0.43,0.13,0.65,0.94,0.15,0.22,0.65,0.21
1999,2,6.000,60.000,0.04,0.77,0.23,0.77,0.00,0.70,0.50,0.78,0.68,0.15
2000,17,0.000,0.000,0.39,0.98,0.62,0.76,0.14,0.52,0.64,0.22,0.08,0.38
2001,2,3.000,30.000,0.01,0.07,0.21,0.89,0.55,0.70,0.88,0.55,0.30,0.45
2002,57,8.000,80.000,0.02,0.69,0.01,0.77,0.32,0.86,0.58,0.95,0.90,0.95
2003,12,6.000,60.000,0.22,0.30,0.44,0.41,0.35,0.76,0.61,0.74,0.91,0.11
2004,52,6.000,60.000,0.27,0.47,0.21,0.91,0.68,0.65,0.03,0.30,0.53,0.13
2005,49,6.000,60.000,0.48,0.22,0.42,0.65,0.10,0.72,0.37,0.93,0.55,0.35
2006,41,8.000,80.000,0.49,0.21,0.38,0.07,0.23,0.80,0.56,0.36,0.69,0.85
2007,28,8.000,80.000,0.30,0.41,0.37,0.38,0.18,0.57,0.39,0.90,1.00,0.96
2008,90,8.000,80.000,0.20,0.18,0.19,0.80,0.54,0.58,0.44,0.48,0.88,0.91
2009,28,6.000,60.000,0.27,0.36,0.36,0.68,0.57,0.79,0.71,0.27,0.96,0.50
2010,8,1.000,10.000,0.25,0.42,0.66,0.27,0.45,0.17,0.30,0.44,0.39,0.14
2011,67,8.000,80.000,0.09,0.66,0.34,0.75,0.45,0.58,0.21,0.31,0.70,0.88
2012,33,8.000,80.000,0.14,0.79,0.02,0.73,0.82,0.56,0.65,0.57,0.90,0.95
2013,54,6.000,60.000,0.41,0.46,0.38,0.74,0.24,0.55,0.94,0.41,0.74,0.25
2014,16,8.000,80.000,0.16,0.39,0.03,0.28,0.68,0.83,0.26,0.68,0.54,0.69
2015,77,3.000,30.000,0.15,0.45,0.09,0.45,0.78,0.86,0.09,0.34,0.23,0.02
2016,3,6.000,60.000,0.21,0.11,0.27,0.25,0.63,0.98,0.85,0.61,0.97,0.33
2017,2,8.000,80.000,0.27,0.26,0.12,0.58,0.97,0.85,0.59,0.20,0.61,0.90
2018,19,3.000,30.000,0.47,0.26,0.79,0.92,0.13,0.16,0.86,0.92,0.93,0.54
2019,17,6.000,60.000,0.36,0.77,0.35,0.33,0.97,0.95,0.97,0.11,0.99,0.35
2020,83,8.000,80.000,0.06,0.45,0.18,0.20,0.64,0.75,0.16,0.06,0.58,0.74
2021,8,8.000,80.000,0.09,0.28,0.41,0.06,0.88,0.70,0.75,0.19,0.54,0.82
2022,52,6.000,60.000,0.01,0.16,0.44,0.89,0.54,0.67,0.96,0.71,0.52,0.40
2023,15,8.000,80.000,0.21,0.04,0.03,0.86,0.65,0.63,0.81,0.74,0.75,0.61
2024,58,8.000,80.000,0.41,0.62,0.43,0.10,0.47,0.62,0.47,0.18,0.61,0.64
2025,73,3.000,30.000,0.38,0.96,0.26,0.19,0.22,0.73,0.07,0.69,0.15,0.14
2026,9,1.000,10.000,0.16,0.72,0.58,0.77,0.01,0.31,0.11,0.13,0.34,0.09
2027,67,1.000,10.000,0.35,0.13,0.84,0.92,0.81,0.40,0.02,0.38,0.67,0.83
2028,9,3.000,30.000,0.15,0.35,0.33,0.30,0.36,0.52,0.57,0.22,0.06,0.16
2029,38,1.000,10.000,0.67,0.76,0.45,0.34,0.37,0.69,0.07,0.09,0.22,0.26
2030,39,3.000,30.000,0.19,0.27,0.05,0.44,0.50,0.92,0.95,0.13,0.16,0.64
2031,76,8.000,80.000,0.04,0.17,0.16,0.19,0.59,0.89,0.17,0.85,0.61,0.82
2032,58,8.000,80.000,0.22,0.11,0.46,0.96,0.10,0.78,0.41,0.01,0.69,0.76
2033,9,8.000,80.000,0.34,0.57,0.26,0.41,0.76,0.84,0.54,0.59,0.88,0.94
2034,5,4.000,40.000,0.46,0.72,0.24,0.14,0.19,0.37,0.99,0.08,0.84,0.70
2035,14,6.000,60.000,0.36,0.08,0.04,0.80,0.28,0.52,0.53,0.18,0.86,0.49
2036,33,8.000,80.000,0.33,0.22,0.39,0.93,0.36,0.73,0.02,0.96,0.95,0.96
2037,13,8.000,80.000,0.39,0.28,0.38,0.57,0.94,0.98,0.42,0.20,0.98,0.93
2038,3,6.000,60.000,0.06,0.09,0.25,0.35,0.93,0.57,0.63,0.04,0.73,0.12
